id,title,user_id,client_id,text
1,Deep Thought,230,jack_handey,"A funny thing to do is, if you're out hiking and your friend gets bitten by a poisonous snake, tell him you're going to go for help, then go about ten feet and pretend that *you* got bit by a snake. Then start an argument with him about who's going to go get help. A lot of guys will start crying. That's why it makes you feel good when you tell them it was just a joke."
2,Deep Thought,230,jack_handey,Al brings a wealth of experience to Financial Network. His depth of experience with a variety of securities organizations can only help us improve our already strong compliance culture.
3,Deep Thought,230,jack_handey,"Ambition is like a frog sitting on a Venus Flytrap. The flytrap can bite and bite, but it won't bother the frog because it only has little tiny plant teeth. But some other stuff could happen and it could be like ambition."
4,Deep Thought,230,jack_handey,"Any man, in the right situation, is capable of murder. But not any man is capable of being a good camper. So, murder and camping are not as similar as you might think."
5,Deep Thought,230,jack_handey,Anybody who has an identity problem had better wise up and get with the program!
6,Deep Thought,230,jack_handey,"Anytime I see something screech across a room and latch onto someone's neck, and the guy screams and tries to get it off, I have to laugh, because what is that thing."
7,Deep Thought,230,jack_handey,"As a young boy, when you get splashed by a mud puddle on the way to school, you wonder if you should go home and change, but be late for school, or go to school the way you are; dirty and soaking wet. Well, while he tried to decide, I drove by and splashed him again."
8,Deep Thought,230,jack_handey,"As I bit into the nectarine, it had a crisp juiciness about it that was very pleasurable - until I realized it wasn't a nectarine at all, but A HUMAN HEAD!"
9,Deep Thought,230,jack_handey,"As the evening sky faded from a salmon color to a sort of flint gray, I thought back to the salmon I caught that morning, and how gray he was, and how I named him Flint."
11,Deep Thought,230,jack_handey,"As we were driving, we saw a sign that said Watch for Rocks. Marta said it should read Watch for Pretty Rocks. I told her she should write in her suggestion to the highway department, but she started saying it was a joke - just to get out of writing a simple letter! And I thought I was lazy!"
12,Deep Thought,230,jack_handey,"Better not take a dog on the space shuttle, because if he sticks his head out when you're coming home his face might burn up"
13,Deep Thought,230,jack_handey,"Broken promises don't upset me. I just think, why did they believe me?"
14,Deep Thought,230,jack_handey,"Children need encouragement. If a kid gets an answer right, tell him it was a lucky guess. That way he develops a good, lucky feeling."
16,Deep Thought,230,jack_handey,"Consider the daffodil. And while you're doing that, I'll be over here, looking through your stuff."
17,Deep Thought,230,jack_handey,"Dad always thought laughter was the best medicine, which I guess is why several of us died of tuberculosis."
18,Deep Thought,230,jack_handey,"During the Middle Ages, probably one of the biggest mistakes was not putting on your armor because you were just going down to the corner."
